q	x	minus_one_rank	minus_one_tie_size	leaders	D_minus_one
19	15086239424	1	1	18	4016
19	15796985021	2	1	13	3342
19	17320508076	3	1	13	1296
19	18136514935	3	1	3	1245
19	18990965656	3	1	13	301
19	19885671410	5	1	3	392
19	20822528702	4	1	3	2045
19	21803523380	3	1	13	2796
19	22830734855	4	1	13	3407
19	26211961532	3	1	3	4085
19	28739945678	1	1	18	4247
19	30093947115	3	1	3	2929
19	31511738509	1	1	18	3699
19	32996325143	3	1	10	2345
19	34550853887	4	1	10	2499
19	36178619865	2	1	3	4663
19	37883073445	6	1	10	2691
19	41536665297	3	1	3	1006
19	43493548067	5	1	3	2346
19	45542623846	8	1	13	2148
19	49934932713	7	1	10	3200
19	52287476152	8	1	10	3573
19	54750853037	9	1	10	4154
19	57330284972	5	1	8	7757
19	60031239563	3	1	3	9495
19	62859442007	1	1	18	11887
19	65820887229	2	1	3	8495
19	75568945763	3	1	3	7304
19	79129163388	2	1	3	8540
19	82857110620	3	1	3	5808
19	90848174617	2	1	3	6102
19	95128229991	1	1	18	8959
19	104302768761	2	1	3	7574
19	109216699370	3	1	3	6322
19	119749985260	2	1	3	7362
19	130000000000	1	1	18	9401
19	137484931034	3	1	3	8686
19	143962145579	3	1	10	9825
19	150744515809	3	1	3	10784
19	157846418272	2	1	3	11418
