x,split,A_minus_1_binary64,A_minus_1_decimal80,binary_decimal_sign_agree,mertens_x
1800000,holdout,198.01462122697438,198.01462122697438561126719268884226044962731220267760663154746373252903740149057,True,404
1810000,holdout,190.67607928096234,190.67607928096234934435948475218838795029937685926715323601360322887958149852413,True,389
1820000,holdout,205.45985856932404,205.45985856932402936890063495178860699056674247046331936043529977558633059475392,True,416
1830000,holdout,127.6019803707737,127.60198037077369542326719608514340148110647878030425309041111872150823138925041,True,300
1840000,holdout,156.8989117939804,156.89891179398040199762606246780290935350398992477868718929264977776082966397453,True,325
1850000,holdout,145.1341405380164,145.13414053801639282401056049837432786448383247391269784758383254984098607414677,True,337
1860000,holdout,29.556392796947602,29.556392796947605262671412816384945219607256620185417804277277735340722629243423,True,182
1870000,holdout,-17.984237787430729,-17.984237787430728066496619253398202846431058263060936630882020760496662435822409,True,138
1880000,holdout,-5.0228650979057345,-5.0228650979057327489491661190588377799402747998208804954331336159739337825503929,True,117
1890000,holdout,-38.925459207204682,-38.925459207204683273232134405346665746397498897038253675076369712831325959540396,True,87
1900000,holdout,-57.205630913043038,-57.205630913043033358681637250532805331637987089041570123359176940985015642419423,True,11
1910000,holdout,-41.894398143884807,-41.894398143884802397382408130232142977143296657302133200563898242024686340681412,True,15
1920000,holdout,-135.08478108300773,-135.08478108300773357615966708531302664889184479700946217930038708242152686768283,True,-136
1930000,holdout,-201.78209322777414,-201.78209322777413457018663725190365816829160533992419481866675092184231465125808,True,-223
1940000,holdout,-176.95183623978795,-176.95183623978794722297858460935037472265714423397086717700002540070900248861285,True,-215
1950000,holdout,-193.97131853342466,-193.97131853342466492339233797432562830766973689029574425973366354002958340623847,True,-234
1960000,holdout,-216.77233470349779,-216.77233470349778930439943794799917186741180350048955682832064683837508781508341,True,-310
1970000,holdout,-138.8057598911744,-138.80575989117441329656219725879672215336465069431151916813751252931969079168861,True,-243
1980000,holdout,-62.16142765227022,-62.161427652270222830017703920126291148403305994801863202703958191751459151026701,True,-180
1990000,holdout,-89.448373054138031,-89.448373054138034909135994419154661869552905259048440035755468550394234001766863,True,-254
2000000,holdout,-126.51474340790132,-126.51474340790132349003806389204451638894576545235891574949771489595177626701476,True,-247
